Feature,MIC_Value
feature_277,0.16332816456268703
feature_278,0.1486644805258957
feature_279,0.16246209624521984
feature_280,0.12288591792003442
feature_281,0.1683023567131523
feature_282,0.19257499356247354
feature_283,0.16338392721294362
feature_284,0.16857224561801032
feature_285,0.18758694772915105
feature_286,0.1627892783934871
feature_287,0.17843952792660195
feature_288,0.17110888135796962
feature_289,0.21293750132912165
feature_290,0.16681007259921088
feature_291,0.15350377522979983
feature_292,0.1321994034885738
feature_293,0.13794698396494273
feature_294,0.1872631509522075
feature_295,0.18633968886900545
feature_296,0.26621775938637804
feature_297,0.1759813462595753
feature_298,0.17254864525263522
feature_299,0.2016784844701347
feature_300,0.12998828934254292
feature_301,0.16079027822153863
feature_302,0.1463091156813578
feature_303,0.1901002131476526
feature_304,0.28327535267608694
feature_305,0.16510928548265927
feature_306,0.1409651249748302
feature_307,0.1948150806684539
feature_308,0.18476149680023582
feature_309,0.17825418472087087
feature_310,0.19151587158084918
feature_311,0.14521149464127786
feature_312,0.15586473955493804
feature_313,0.18277118637203815
feature_314,0.1521993836314124
feature_315,0.16506436618582884
feature_316,0.13732249715087833
feature_317,0.16595277947226145
feature_318,0.2636984587562437
feature_319,0.18628117459956534
feature_320,0.18312660335870581
feature_321,0.1503982338105102
feature_322,0.1740128347832629
feature_323,0.14799911516632458
feature_324,0.17404257743042703
feature_325,0.23885804964220422
feature_326,0.16204323429004064
feature_327,0.1899170187133944
feature_328,0.16901136793506474
feature_329,0.1407907187406943
feature_330,0.1358592143454106
feature_331,0.172328566868946
feature_332,0.16432463585182278
feature_333,0.1909291795856837
feature_334,0.21706473289185785
feature_335,0.44025837361350983
feature_336,0.15074928397848741
feature_337,0.14694314131843764
feature_338,0.17835856193166197
feature_339,0.1449852683081947
feature_340,0.16890353088756171
feature_341,0.14599611659744482
feature_342,0.17927483951121015
feature_343,0.15428162690650377
feature_344,0.13351145813006088
feature_345,0.17583451678748166
feature_346,0.1673863125602427
feature_347,0.15598871599939856
feature_348,0.16688159834654417
feature_349,0.1371745391282828
feature_350,0.194357962186776
feature_351,0.18708811173705542
feature_352,0.17133754586043254
feature_353,0.1653532378387111
feature_354,0.17961223150323974
feature_355,0.2550025347653868
feature_356,0.35995400069736316
feature_357,0.22418853623233567
feature_358,0.36202586984949503
feature_359,0.21538382365634529
feature_360,0.2095909345070803
feature_361,0.16494801513093058
feature_362,0.1688636721153153
feature_363,0.15697382018374745
feature_364,0.13232154465839027
feature_365,0.14968561958456764
feature_366,0.19871753480923648
feature_367,0.18533415930232933
feature_368,0.15236697112027314
feature_369,0.14691624572323822
feature_370,0.15202253353751213
feature_371,0.15737858530327892
feature_372,0.16828228560837813
feature_373,0.14225790313126535
feature_374,0.17880030838420444
feature_375,0.14431292349551078
feature_376,0.18846710876761263
feature_377,0.287573116178995
feature_378,0.35146486651930187
feature_379,0.19954782973019644
feature_380,0.2040938847641217
feature_381,0.15463236881715028
feature_382,0.17509676376474217
feature_383,0.1540121718795841
feature_384,0.15227291054176692
feature_385,0.16573611923222994
feature_386,0.30545026230658134
feature_387,0.24197010038836986
feature_388,0.17572937603981295
feature_389,0.16423121089218928
feature_390,0.18768773619541781
feature_391,0.1445116177295637
feature_392,0.1513673583673576
feature_393,0.16860495664913072
feature_394,0.16317253277488666
feature_395,0.2595260142589218
feature_396,0.1698512977661359
feature_397,0.14404671751974682
feature_398,0.19292164943186774
feature_399,0.16073900674083447
feature_400,0.2597001801434363
feature_401,0.20124533795646923
feature_402,0.15674163684629416
feature_403,0.190652646446836
feature_404,0.1662968937027561
feature_405,0.18070825157938702
feature_406,0.14763426465324572
feature_407,0.1858204538402016
feature_408,0.1522477667130315
feature_409,0.1514345808634353
feature_410,0.3238873813922461
feature_411,0.18055664152142253
feature_412,0.15441251496771793
feature_413,0.1599689466719684
feature_414,0.1679151000322215
feature_415,0.16717143856954542
feature_416,0.2037889702822489
feature_417,0.16886430988001802
feature_418,0.21358708917981492
feature_419,0.1879197185496374
feature_420,0.16401461040705528
feature_421,0.1852621243349059
feature_422,0.1466772998502621
feature_423,0.1491014368761996
feature_424,0.14486697913420452
feature_425,0.19427222649289486
feature_426,0.18302702838587567
feature_427,0.1587944699791364
feature_428,0.1711002762239016
feature_429,0.17284827554392418
feature_430,0.18287308626288634
feature_431,0.14556359828732918
feature_432,0.15187217717885557
feature_433,0.16853641392922974
feature_434,0.15672806806711376
feature_435,0.17519456326041882
feature_436,0.23784033509888203
feature_437,0.16355036382282087
feature_438,0.2812929536369193
feature_439,0.2771887334807791
feature_440,0.1462420941705721
feature_441,0.13504341789942303
feature_442,0.1674605215655497
feature_443,0.2237666266198953
feature_444,0.14833350409978988
feature_445,0.15080411351628525
feature_446,0.20047155149218968
feature_447,0.14279361332645543
feature_448,0.1747980143988056
feature_449,0.1625695899766311
feature_450,0.2285109903283093
feature_451,0.14066029954352216
feature_452,0.19621934501632343
feature_453,0.14959502683818746
feature_454,0.16519443664212807
feature_455,0.20666382693068508
feature_456,0.2896592648363332
feature_457,0.1576625458654948
feature_458,0.1718648034120295
feature_459,0.16339896714258706
feature_460,0.17221507449503237
feature_461,0.16913915572676944
feature_462,0.15945211807096896
feature_463,0.15129570512754545
